YearMonth,Confinement / Hospitalization,Deworming & Preventives,End of Life Care,Grooming & Wellness,Medication & Treatment,Professional Fee / Consultation,Specialty Tests / Rare Cases,Surgery,Vaccination,Year,Month,Diagnostics & Laboratory Tests,TotalVisits,Month_sin,Month_cos,IsPeakSeason,IsSlowSeason,IsHoliday,Lag1_Total,Lag2_Total,Lag3_Total,Rolling3_Total,Rolling6_Total
1/1/2020,17,61,3,108,36,166,3,35,55,2020,1,0,484,0.5,0.866025404,0,0,0,,,,,
2/1/2020,13,68,4,85,29,187,4,27,71,2020,2,0,488,0.866025404,0.5,0,0,0,484,,,,
3/1/2020,6,14,0,18,8,41,2,9,16,2020,3,0,114,1,6.12E-17,0,0,0,488,484,,362,
4/1/2020,3,29,1,43,14,85,4,19,27,2020,4,0,225,0.866025404,-0.5,1,0,0,114,488,484,275.6666667,
5/1/2020,1,29,0,50,10,94,0,20,41,2020,5,0,245,0.5,-0.866025404,1,0,0,225,114,488,194.6666667,
6/1/2020,0,11,0,28,8,41,0,4,12,2020,6,0,104,1.22E-16,-1,0,1,0,245,225,114,191.3333333,276.6666667
7/1/2020,1,5,0,26,4,28,1,4,18,2020,7,0,87,-0.5,-0.866025404,0,1,0,104,245,225,145.3333333,210.5
8/1/2020,2,9,0,14,3,32,2,7,10,2020,8,0,79,-0.866025404,-0.5,0,1,0,87,104,245,90,142.3333333
9/1/2020,2,9,0,18,3,43,1,7,8,2020,9,0,91,-1,-1.84E-16,0,1,0,79,87,104,85.66666667,138.5
10/1/2020,1,9,2,19,7,35,4,8,13,2020,10,0,98,-0.866025404,0.5,0,0,0,91,79,87,89.33333333,117.3333333
11/1/2020,0,7,0,17,3,36,5,6,19,2020,11,0,93,-0.5,0.866025404,1,0,0,98,91,79,94,92
12/1/2020,8,35,3,42,9,96,2,19,35,2020,12,0,249,-2.45E-16,1,1,0,1,93,98,91,146.6666667,116.1666667
1/1/2021,5,29,1,40,17,70,3,18,33,2021,1,0,216,0.5,0.866025404,0,0,0,249,93,98,186,137.6666667
2/1/2021,7,24,0,36,16,84,0,20,34,2021,2,0,221,0.866025404,0.5,0,0,0,216,249,93,228.6666667,161.3333333
3/1/2021,3,18,1,32,12,54,3,18,29,2021,3,0,170,1,6.12E-17,0,0,0,221,216,249,202.3333333,174.5
4/1/2021,5,34,3,50,13,97,5,14,44,2021,4,0,265,0.866025404,-0.5,1,0,0,170,221,216,218.6666667,202.3333333
5/1/2021,10,29,1,41,18,88,3,19,57,2021,5,0,266,0.5,-0.866025404,1,0,0,265,170,221,233.6666667,231.1666667
6/1/2021,7,20,0,55,19,84,0,17,32,2021,6,0,234,1.22E-16,-1,0,1,0,266,265,170,255,228.6666667
7/1/2021,12,41,1,126,26,132,5,32,61,2021,7,0,436,-0.5,-0.866025404,0,1,0,234,266,265,312,265.3333333
8/1/2021,16,44,2,116,25,133,10,31,69,2021,8,0,446,-0.866025404,-0.5,0,1,0,436,234,266,372,302.8333333
9/1/2021,11,45,3,92,27,163,5,37,65,2021,9,0,448,-1,-1.84E-16,0,1,0,446,436,234,443.3333333,349.1666667
10/1/2021,15,65,2,90,29,183,10,39,84,2021,10,0,517,-0.866025404,0.5,0,0,0,448,446,436,470.3333333,391.1666667
11/1/2021,9,60,1,104,27,189,5,44,98,2021,11,0,537,-0.5,0.866025404,1,0,0,517,448,446,500.6666667,436.3333333
12/1/2021,37,69,11,96,25,196,11,37,98,2021,12,0,580,-2.45E-16,1,1,0,1,537,517,448,544.6666667,494
1/1/2022,15,54,1,92,31,160,5,31,73,2022,1,0,462,0.5,0.866025404,0,0,0,580,537,517,526.3333333,498.3333333
2/1/2022,14,49,0,74,23,161,7,42,92,2022,2,0,462,0.866025404,0.5,0,0,0,462,580,537,501.3333333,501
3/1/2022,11,68,3,84,33,191,3,43,75,2022,3,0,511,1,6.12E-17,0,0,0,462,462,580,478.3333333,511.5
4/1/2022,16,48,2,106,27,172,3,46,115,2022,4,0,535,0.866025404,-0.5,1,0,0,511,462,462,502.6666667,514.5
5/1/2022,19,57,3,70,24,194,5,33,115,2022,5,0,520,0.5,-0.866025404,1,0,0,535,511,462,522,511.6666667
6/1/2022,8,49,1,131,31,148,6,41,55,2022,6,0,470,1.22E-16,-1,0,1,0,520,535,511,508.3333333,493.3333333
7/1/2022,10,47,2,136,24,139,4,38,65,2022,7,0,465,-0.5,-0.866025404,0,1,0,470,520,535,485,493.8333333
8/1/2022,7,52,0,120,23,170,3,26,61,2022,8,0,462,-0.866025404,-0.5,0,1,0,465,470,520,465.6666667,493.8333333
9/1/2022,19,57,2,91,24,182,6,30,64,2022,9,0,475,-1,-1.84E-16,0,1,0,462,465,470,467.3333333,487.8333333
10/1/2022,5,66,2,94,24,196,3,40,63,2022,10,0,493,-0.866025404,0.5,0,0,0,475,462,465,476.6666667,480.8333333
11/1/2022,12,53,2,84,38,233,4,42,85,2022,11,0,553,-0.5,0.866025404,1,0,0,493,475,462,507,486.3333333
12/1/2022,29,53,15,113,30,185,10,42,79,2022,12,0,556,-2.45E-16,1,1,0,1,553,493,475,534,500.6666667
1/1/2023,14,66,2,96,29,164,10,32,86,2023,1,0,499,0.5,0.866025404,0,0,0,556,553,493,536,506.3333333
2/1/2023,14,58,3,85,24,155,7,38,79,2023,2,0,463,0.866025404,0.5,0,0,0,499,556,553,506,506.5
3/1/2023,15,58,1,81,30,173,8,40,72,2023,3,0,478,1,6.12E-17,0,0,0,463,499,556,480,507
4/1/2023,17,45,2,95,30,207,9,34,151,2023,4,0,590,0.866025404,-0.5,1,0,0,478,463,499,510.3333333,523.1666667
5/1/2023,8,60,1,108,23,188,5,40,132,2023,5,0,565,0.5,-0.866025404,1,0,0,590,478,463,544.3333333,525.1666667
6/1/2023,11,43,1,144,20,151,10,24,67,2023,6,0,471,1.22E-16,-1,0,1,0,565,590,478,542,511
7/1/2023,10,51,0,129,21,125,8,24,56,2023,7,0,424,-0.5,-0.866025404,0,1,0,471,565,590,486.6666667,498.5
8/1/2023,12,41,1,135,14,159,8,24,60,2023,8,0,454,-0.866025404,-0.5,0,1,0,424,471,565,449.6666667,497
9/1/2023,13,45,4,100,30,176,5,38,66,2023,9,0,477,-1,-1.84E-16,0,1,0,454,424,471,451.6666667,496.8333333
10/1/2023,7,52,2,97,25,177,8,41,74,2023,10,0,483,-0.866025404,0.5,0,0,0,477,454,424,471.3333333,479
11/1/2023,17,53,0,95,27,180,7,51,92,2023,11,0,522,-0.5,0.866025404,1,0,0,483,477,454,494,471.8333333
12/1/2023,19,55,15,87,25,203,6,40,70,2023,12,0,520,-2.45E-16,1,1,0,1,522,483,477,508.3333333,480
1/1/2024,15,71,4,74,30,181,6,31,76,2024,1,0,488,0.5,0.866025404,0,0,0,520,522,483,510,490.6666667
2/1/2024,10,55,3,97,28,192,5,33,76,2024,2,0,499,0.866025404,0.5,0,0,0,488,520,522,502.3333333,498.1666667
3/1/2024,21,60,1,84,35,196,8,40,63,2024,3,0,508,1,6.12E-17,0,0,0,499,488,520,498.3333333,503.3333333
4/1/2024,15,60,5,91,28,205,5,47,131,2024,4,0,587,0.866025404,-0.5,1,0,0,508,499,488,531.3333333,520.6666667
5/1/2024,14,46,2,94,30,200,7,40,119,2024,5,0,552,0.5,-0.866025404,1,0,0,587,508,499,549,525.6666667
6/1/2024,11,42,0,109,21,165,4,33,56,2024,6,0,441,1.22E-16,-1,0,1,0,552,587,508,526.6666667,512.5
7/1/2024,8,38,0,120,18,138,4,39,56,2024,7,0,421,-0.5,-0.866025404,0,1,0,441,552,587,471.3333333,501.3333333
8/1/2024,10,44,2,120,23,131,8,23,63,2024,8,0,424,-0.866025404,-0.5,0,1,0,421,441,552,428.6666667,488.8333333
9/1/2024,14,54,1,88,21,187,3,28,71,2024,9,0,467,-1,-1.84E-16,0,1,0,424,421,441,437.3333333,482
10/1/2024,13,57,2,96,23,179,5,43,74,2024,10,0,492,-0.866025404,0.5,0,0,0,467,424,421,461,466.1666667
11/1/2024,10,73,2,99,34,181,7,52,77,2024,11,0,535,-0.5,0.866025404,1,0,0,492,467,424,498,463.3333333
12/1/2024,24,62,17,85,27,197,6,45,97,2024,12,0,560,-2.45E-16,1,1,0,1,535,492,467,529,483.1666667
1/1/2025,9,54,2,86,26,185,7,37,82,2025,1,0,488,0.5,0.866025404,0,0,0,560,535,492,527.6666667,494.3333333
2/1/2025,15,47,2,92,25,187,8,40,62,2025,2,0,478,0.866025404,0.5,0,0,0,488,560,535,508.6666667,503.3333333
3/1/2025,12,60,3,82,22,177,10,18,76,2025,3,0,460,1,6.12E-17,0,0,0,478,488,560,475.3333333,502.1666667
4/1/2025,10,56,0,81,32,195,5,40,117,2025,4,0,536,0.866025404,-0.5,1,0,0,460,478,488,491.3333333,509.5
5/1/2025,13,62,1,95,32,175,7,38,127,2025,5,0,550,0.5,-0.866025404,1,0,0,536,460,478,515.3333333,512
6/1/2025,13,54,0,117,26,149,8,26,71,2025,6,0,464,1.22E-16,-1,0,1,0,550,536,460,516.6666667,496
7/1/2025,10,49,0,146,12,150,8,32,60,2025,7,0,467,-0.5,-0.866025404,0,1,0,464,550,536,493.6666667,492.5
8/1/2025,14,35,0,123,21,148,5,29,63,2025,8,0,438,-0.866025404,-0.5,0,1,0,467,464,550,456.3333333,485.8333333
9/1/2025,17,43,0,80,30,164,1,40,79,2025,9,0,454,-1,-1.84E-16,0,1,0,438,467,464,453,484.8333333
10/1/2025,0,0,1,0,0,0,0,0,0,2025,10,0,1,-0.866025404,0.5,0,0,0,454,438,467,297.6666667,395.6666667
